source,english,language
"akaunti","account","nyanja"
"yatsekedwa","suspended","nyanja"
"dinani","click","nyanja"
"apa","here","nyanja"
"mutsimikizire","verify","nyanja"
"chinsinsi","password","nyanja"
"mwachangu","urgent","nyanja"
"banki","bank","nyanja"
"moni","hello","nyanja"
"msonkhano","meeting","nyanja"
"mawa","tomorrow","nyanja"
"lipoti","report","nyanja"
"ndalama","money","nyanja"
"tsegulani","open","nyanja"
"tumizani","send","nyanja"
"akaunti yanu","your account","nyanja"
"password yanu","your password","mixed"
